id,name,名称,iata_code 
308594,Kar Kar Airport,Kar Kar,KRX
308319,Kuri Airport,库里,KUQ
61,Kavieng Airport,Kavieng,KVG
31837,Londolovit Airport,隆多洛维茨,LNV
312686,Lab Lab Airport,实验室实验室,LAB
313841,Lowai Airport,洛伊,LWI
313927,Leron Plains Airport,Leron Plains,LPN
313944,Lese Airport,莱斯,LNG
313946,Long Island Airport,长岛,LSJ
317271,Yas Island Seaplane Base,亚斯岛飞机基地,AYM
314134,Manari Airport,马纳里,MRM
312797,Morobe Airport,莫罗贝,OBM
62,Madang Airport,马当,MAG
63,Mount Hagen Kagamuga Airport,Mount Hagen Kagamuga,HGU
308188,Mougulu Airport,穆古鲁,GUV
64,Mendi Airport,门迪,MDU
65,Momote Airport,莫莫特,MAS
31981,Moro Airport,莫罗,MXH
31911,Misima Island Airport,三岛,MIS
308796,Marawaka Airport,马拉瓦卡,MWG
316543,Nankina Airport,南京,NKN
308173,Negarbo(Negabo) Airport,尼加博（尼加博）,GBF
308139,Manguna Airport,曼古纳,MFO
311620,Kasonombe Airport,Kasonombe,KSB
308583,Nomane Airport,诺曼,NMN
313487,Nambaiyufa Airport,Nambaiyufa,NBA
66,Nadzab Airport,纳扎布,LAE
313220,Konge Airport,孔戈,KGB
311909,Oksapmin Airport,奥克萨普明,OKP
313218,Komako Airport,Komako,HOC
311706,Komaio Airport,科迈约,KCJ
313288,Koroba Airport,科罗巴,KDE
331003,Open Bay Airport,开放湾,OPB
311954,Pangoa Airport,Pangoa,PGB
316621,Pangia Airport,Pangia,PGN
312804,Mapoda Airport,Mapoda,MPF
312000,Pumani Airport,普马尼,PMN
67,Port Moresby Jacksons International Airport,莫尔兹比港杰克逊斯,POM
312128,Sopu Airport,索普,SPH
312022,Sialum Airport,暹罗,SXA
307082,Rumginae Airport,鲁吉纳,RMN
308137,Karimui Airport,卡里穆伊,KMR
313207,Maramuni Airport,马拉穆尼,MWI
311745,May River Airstrip,五月河空难,MRH
307595,Suabi Airport,苏艾比,SBE
307120,Simberi Airport,辛贝里,NIS
307114,Sila Airport,西拉,SIL
312961,Sabah Airport,沙巴,SBV
307115,Simbai Airport,辛拜,SIM
313471,Selbang Airport,塞尔邦,SBC
314638,Sepik Plains Airport,塞皮克平原,SPV
315130,Sauren Airport,索伦,SXW
313953,Masa Airport,马萨,MBV
32451,Tari Airport,塔里,TIZ
32425,Tabubil Airport,塔比尔,TBG
307594,Tapini Airport,塔皮尼,TPI
68,Tokua Airport,东京,RAB
307593,Tekin Airport,特金,TKW
309953,Tep Tep Airport,Tep Tep,TEP
312313,Tsewi Airport,Tsewi,TSW
312249,Tarakbits Airport,塔拉克比特,TRJ
312256,Tawa Airport,塔瓦,TWY
312258,Tekadu Airport,特卡杜,TKB
301673,Aiyura Airport,艾尤拉,AYU
312334,Umba Airport,翁巴,UMC
312379,Uroubi Airport,乌鲁比,URU
312336,Upiara Airport,乌皮亚拉,UPR
312427,Uvol Airport,乌沃,UVO
314791,Talasea Airport,塔拉萨,TLW
312309,Torembi Airport,托伦比,TCJ
69,Vanimo Airport,瓦尼莫,VAI
312307,Tonu Airport,通努,TON
307286,Wabo Airport,瓦博,WAO
70,Wapenamanda Airport,瓦佩纳曼达,WBM
316464,Wawoi Falls Airport,瓦沃伊瀑布,WAJ
71,Wewak International Airport,韦瓦克,WWK
307586,Wonenara Airport,Wonenara,WOA
320097,Wakunai Airport,和库奈,WKN
307291,Wasu Airport,瓦苏,WSU
307247,Woitape Airport,沃伊塔佩,WTP
307290,Wau Airport,沃,WUG
311042,Yeva Airport,叶瓦,YVD
312056,Sim Airport,西姆,SMJ
316476,Weam Airport,维昂,WEP
300786,Arugam Bay SPB,阿鲁加姆湾SPB,AYY
313341,Yalumet Airport,雅鲁米特,KYX
312469,Yasuru Airport,亚速,KSX
315022,Wasum Airport,瓦苏姆,WUM
44941,Zabrat Airport,扎布拉特,ZXT
44952,Fuzuli International Airport,福祖里,FZL
16403,Lava Falls Heliport,熔岩瀑布直升,HAE
301690,Amazon Bay Airport,亚马逊湾,AZB
349715,Zhenjiang Dalu Airport,镇江大路,AZJ
301840,Bali Airport,巴厘岛,BAJ
301858,Bambu Airport,班布,BCP
27301,Benguera Island Airport,本格拉岛,BCW
301872,Milyakburra Airport,米拉克布拉,BCZ
16495,Willmar Municipal Airport John L Rice Field (2006),威尔玛市政约翰·L·稻田（2006年）,ILL
301874,Baindoung Airport,班顿,BDZ
31597,Malevo Airfield,马列沃,HKV
111,Bezmer Air Base,贝兹默空军基地,JAM
31697,Aasiaat Airport,亚西亚特,JEG
43214,Aappilattoq Heliport,Aappilattoq直升,AOQ
42247,Tasiilaq Heliport,Tasiilaq直升,AGM
35286,Attu Heliport,阿图直升,QGQ
113,Narsarsuaq Airport,纳尔萨苏亚克,UAK
35299,Qasigiannguit Heliport,Qasigiannguit直升,JCH
30839,Neerlerit Inaat Airport,Neerlerit Inat,CNP
44052,Eqalugaarsuit Heliport,Eqalugaarsuit直升,QFG
114,Nuuk Airport,努克,GOH
35300,Qeqertarsuaq Heliport,Q直升,JGO
43215,Ikerasak Heliport,Ikerasak直升,IKE
44054,Iginniarfik Heliport,伊金纳尔菲克直升,QFI
35290,Ikerassaarsuk Heliport,Ikerasarsuk直升,QRY
35291,Ilimanaq Heliport,伊利马纳克直升,XIQ
44056,Innarsuit Heliport,Innarsuit直升,IUI
44057,Isortoq Heliport,Isortoq直升,IOQ
35289,Ikamiut Heliport,Ikamiut直升,QJI
35298,Qaqortoq Heliport,卡塔尔直升,JJU
31694,Ilulissat Airport,伊卢利萨特,JAV
35292,Kangaatsiaq Heliport,Kangaatsiaq直升,QPW
31786,Kulusuk Airport,库卢苏克,KUS
44060,Kuummiut Heliport,Kuummiut直升,KUZ
43218,Kullorsuaq Heliport,Kullorsuaq直升,KHQ
43217,Kangersuatsiaq Heliport,Kangersuatsiaq直升,KGQ
35293,Kitsissuarsuit Heliport,直升,QJE
43216,Illorsuit Heliport,Illorsuit直升,IOT
31711,Maniitsoq Airport,曼尼托克,JSU
35294,Nanortalik Heliport,Nanortalik直升,JNN
43219,Nuugaatsiaq Heliport,Nuugaatsiaq直升,JUU
35295,Narsaq Heliport,纳沙克直升,JNS
44063,Niaqornat Heliport,尼亚克纳特直升,NIQ
43220,Nuussuaq Heliport,Nuussuaq直升,NSQ
44065,Paamiut Airport,帕穆特,JFR
43221,Qeqertaq Heliport,Qeqertaq直升,PQT
32004,Qaanaaq Airport,卡纳克,NAQ
44058,Ittoqqortoormiit Heliport,Ittoqqortoormiit直升,OBY
115,Kangerlussuaq Airport,Kangerlussuaq,SFJ
44070,Siorapaluk Heliport,Siorapaluk直升,SRK
323783,Saarloq Heliport,萨尔卢克直升,QOQ
31700,Sisimiut Airport,西西穆特,JHS
43222,Saattut Heliport,萨阿图特直升,SAE
44068,Savissivik Heliport,Savissivik直升,SVR
44075,Tasiusaq Heliport,Tasiusaq直升,TQA
116,Thule Air Base,图勒空军基地,THU
44076,Tiniteqilaaq Heliport,Tiniteqilaaq直升,TQI
31713,Upernavik Airport,乌佩尔纳维克,JUV
43225,Uummannaq Heliport,乌曼纳克直升,UMD
31709,Qaarsut Airport,Qaarsut,JQA
43223,Ukkusissat Heliport,乌克兰直升,JUK
30705,Bah铆a de los 脕ngeles Airport,巴哈铆洛杉矶脕安吉尔斯,BHL
302410,Brighton Downs Airport,布莱顿唐斯,BHT
117,Akureyri Airport,阿库雷里,AEY
118,Bildudalur Airport,比尔杜达鲁尔,BIU
30700,Borgarfj枚r冒ur eystri Airport,Borgarfj公司枚r冒乌雷斯特里,BGJ
30759,Bakkafj枚r冒ur Airport,Bakkafj公司枚r冒ur,BJD
30771,Hjaltabakki Airport,Hjaltabakki,BLO
30789,B煤冒ardalur Airport,B煤冒阿达尔,BQD
30807,Brei冒dalsv铆k Airport,布雷伊冒达尔斯韦铆k,BXV
30922,Dj煤pivogur Airport,Dj公司煤毕沃古尔,DJU
119,Egilssta冒ir Airport,Egilssta公司冒国际航空公司,EGS
31058,F谩skr煤冒sfj枚r冒ur Airport,F谩skr公司煤冒sfj公司枚r冒ur,FAS
31041,Fagurh贸lsm媒ri Airport,法古尔贸低成本管理媒里,FAG
31559,Grundarfj枚r冒ur Airport,格伦达尔夫枚r冒ur,GUU
31531,Gj枚gur Airport,Gj公司枚古尔,GJR
31549,Gr铆msey Airport,Gr公司铆msey,GRY
31656,H贸lmav铆k Airport,H贸lmav公司铆k,HVK
120,Hornafj枚r冒ur Airport,Hornafj公司枚r冒ur,HFN
30726,Holt Airport,霍尔特,FLI
121,H煤sav铆k Airport,H煤干腊肠铆k,HZK
31657,Kr贸ksta冒armelar Airport,Kr公司贸ksta公司冒亚美尼亚,HVM
31603,Ingjaldssan冒ur Airport,英贾尔德桑冒ur,HLO
122,脥safj枚r冒ur Airport,脥安全气囊枚r冒ur,IFJ
123,Keflavik International Airport,凯夫拉维克,KEF
32121,K贸pasker Airport,K贸帕斯克,OPA
32246,Sau冒谩rkr贸kur Airport,沙特冒谩rkr公司贸库尔,SAK
32044,Nor冒fj枚r冒ur Airport,也没有冒峡湾枚r冒ur,NOR
32096,脫lafsfj枚r冒ur Airport,脫lafsfj公司枚r冒ur,OFJ
124,Patreksfj枚r冒ur Airport,Patreksfj公司枚r冒ur,PFJ
32207,Reykh贸lar Airport,Reykh公司贸拉尔,RHA
30741,Rif Airport,里夫,OLI
32205,Raufarh枚fn Airport,劳法尔枚fn,RFN
125,Reykjavik Airport,雷克雅未克,RKV
31973,Reykjahl铆冒 Airport,雷恰利兹铆冒 ,MVA
126,Siglufj枚r冒ur Airport,西格鲁夫枚r冒ur,SIJ
32415,Stykkish贸lmur Airport,施蒂基什贸伊穆尔,SYK
32436,脼ingeyri Airport,脼因盖里,TEY
127,脼贸rsh枚fn Airport,脼贸rsh公司枚fn,THO
128,Vestmannaeyjar Airport,维斯曼奈杰尔,VEY
32593,Vopnafj枚r冒ur Airport,沃普纳法枚r冒ur,VPN
300790,Baleela Airport,巴列拉,BJE
300791,Bahja Airport,巴哈,BJQ
312172,Bentota River Waterdrome,本塔河水利枢纽,BJT
4614,Pri拧tina Adem Jashari International Airport,脉波重复间隔拧tina Adem Jashari,PRN
302041,Bomai Airport,博迈,BMH
28482,Bamburi Airport,班布里,BMQ
302044,Bamu Airport,巴木,BMZ
16502,Baranof Warm Springs Float and Seaplane Base,巴拉诺夫温泉漂浮物和海平面基地,BNF
301975,Bodinumu Airport,博迪努穆,BNM
302046,Bundi Airport,邦迪,BNT
41591,Rurrenabaque Airport,Rurrenabaque,RBQ
41590,Baures Airport,包雷斯,BVL
16503,Bolling Air Force Base,波林空军基地,BOF
16504,Brookings Airport,布鲁金斯,BOK
301979,Bosset Airport,博塞特,BOT
312780,Boang Airport,博昂,BOV
302402,Batuna Aerodrome,巴图纳,BPF
16505,Bartlett Cove Seaplane Base,巴特利特湾飞机基地,BQV
333222,Glauber de Andrade Rocha Airport,Glauber de Andrade Rocha,VDC
30637,Alenquer Municipal Airport,阿伦克市,ALT
35303,Bimini North Seaplane Base,比米尼北海飞机基地,NSB
301802,Bensbach Airport,本斯巴赫,BSP
302396,Besakoa Airport,贝萨科阿,BSV
353792,Betong International Airport,Betong,BTZ
46171,Bulolo Airport,布洛,BUL
302436,Esperadinha Airport,埃斯佩拉丁哈,BVR
31654,Hukuntsi Airport,胡昆西,HUK
301800,Bawan Airport,巴旺,BWJ
301803,Bewani Airport,贝瓦尼,BWP
302394,Blue Lagoon Seaplane Base,蓝色泻湖水上飞机基地,BXL
310095,Bunsil Airport,Bunsil,BXZ
34946,Orsha Airport - Balbasovo Air Base,奥尔沙-巴尔巴索沃空军基地,TXC
16506,Boundary Airport,边界,BYA
302393,Bella Yella Airport,贝拉耶拉,BYL
300806,Beira Lake Seaplane Base,贝拉湖飞机基地,BYV
44573,Hector Silva Airstrip,赫克托·席尔瓦空难,BCV
42216,Big Creek Airport,Big Creek,BGK
30861,Caye Caulker Airport,Caye Caulker,CUK
30867,Caye Chapel Airport,凯伊教堂,CYC
42209,Corozal Municipal Airport,科罗扎尔市,CZH
42207,Dangriga Airport,丹格里加,DGA
42213,Independence Airport,独立,INB
42214,Melinda Airport,梅琳达,MDB
42212,Orange Walk Airport,奥兰治大道,ORZ
42217,Placencia Airport,Placencia,PLJ
35305,Punta Gorda Airport,蓬塔戈尔达,PND
42210,Sartaneja Airport,萨尔塔内亚,SJX
32370,John Greif II Airport,约翰·格雷夫二世,SPR
42218,Matthew Spain Airport,马修西班牙,SQS
42211,Santa Cruz Airport,圣克鲁斯,STU
42208,Silver Creek Airport,银溪,SVK
42215,Sir Barry Bowen Municipal Airport,巴里·鲍恩爵士市政,TZA
27300,Bazaruto Island Airport,巴扎鲁托岛,BZB
302391,Bemolanga Airport,贝莫兰加,BZM
39968,Saglek Airport,萨格勒布,YSV
298628,Stuart Island Airstrip,斯图尔特岛航空旅行,YRR
299911,Mary River Aerodrome,玛丽河,YMV
506772,Hakai Passage Water Aerodrome,哈凯通道水上,YHC
28174,Bedwell Harbour Seaplane Base,贝德维尔港飞机基地,YBW
28447,Tofino Harbour Seaplane Base,托菲诺海港飞机基地,YTP
28332,Nanaimo Harbour Water Airport,纳奈莫海港水上,ZNA
614,Trail Airport,特雷尔,YZZ
615,Merritt Airport,梅里特,YMB
28187,Campbell River Seaplane Base,坎贝尔河飞机基地,YHH
28465,Whistler/Green Lake Water Aerodrome,惠斯勒/绿湖水上,YWS
28169,Bamfield Seaplane Base,班菲尔德海平面基地,YBF
28177,Big Bay Seaplane Base,大湾飞机基地,YIG
619,Chilko Lake (Tsylos Park Lodge) Airport,奇尔科湖（Tsylos Park Lodge）,CJH
28364,Pender Harbour Seaplane Base,彭德港飞机基地,YPT
28346,Ocean Falls Seaplane Base,海洋瀑布水上飞机基地,ZOF
620,Courtenay Airpark,Courtenay空中公园,YCA
623,Creston Valley Regional Airport - Art Sutcliffe Field,Creston Valley地区-Art Sutcliffe,CFQ
624,Anahim Lake Airport,阿纳海姆湖,YAA
629,Douglas Lake Airport,道格拉斯湖,DGF
30592,Fort MacKay/Albian Aerodrome,麦凯堡/阿尔比安,JHL
28434,Tahsis Seaplane Base,塔西斯海平面基地,ZTS
631,Duncan Airport,邓肯,DUQ
634,Sechelt-Gibsons Airport,Sechelt Gibsons,YHS
28274,Kitkatla Seaplane Base,Kitkatla海平面基地,YKK
28389,Queen Charlotte City Seaplane Base,夏洛特女王城水上飞机基地,ZQS
28384,Powell Lake Seaplane Base,鲍威尔湖飞机基地,WPL
643,Qualicum Beach Airport,夸利库姆海滩,XQU
644,Port Mcneill Airport,麦克尼尔港,YMP
28396,Rivers Inlet Seaplane Base,Rivers Inlet海平面基地,YRN
28432,Sullivan Bay Seaplane Base,沙利文湾飞机基地,YTG
28311,Mansons Landing Seaplane Base,曼森登陆水上飞机基地,YMU
28175,Bella Bella/Shearwater Seaplane Base,Bella Bella/Shearwater水上飞机基地,YSX
28235,Ganges Seaplane Base,恒河飞机基地,YGG
28252,Hartley Bay Seaplane Base,哈特利湾飞机基地,YTB
657,Cache Creek-Ashcroft Regional Airport,Cache Creek阿什克罗夫特地区,YZA
